,Location,Model,Type,Reference,Lithology,Sample,Mg,Al,Si,Ti,V,Mn,Cr,Zn,Co,Ni,Ga,Fe
0,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg2_gr4-1,13110.0,1035.0,11900.0,788.0,2030.0,633.0,6.0,89.0,65.8,43.3,20.0,69.6158
1,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg2_gr4-3,13040.0,1184.0,6500.0,817.0,2050.0,625.0,6.0,96.0,73.1,44.6,19.0,69.4991
2,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg2_gr4-10,12630.0,1160.0,7800.0,802.0,1990.0,651.0,6.0,93.8,71.3,42.0,19.6,69.3385
3,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-1,5340.0,4420.0,5500.0,6660.0,1823.0,946.0,22.0,157.0,127.2,84.7,40.8,69.1117
4,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-3,6820.0,5530.0,2400.0,7570.0,1900.0,991.0,57.9,136.6,116.0,70.1,45.1,67.8754
5,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-4,6480.0,5480.0,7200.0,7580.0,2020.0,936.0,44.8,163.0,119.2,79.9,44.6,69.1786
6,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-5,6530.0,5440.0,2000.0,6810.0,1920.0,969.0,35.9,159.0,120.6,69.4,43.5,67.2481
7,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-6,6420.0,5360.0,7400.0,7410.0,1991.0,1067.0,25.0,172.0,119.4,78.5,44.1,67.6176
8,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-7,5040.0,5170.0,7300.0,7060.0,2002.0,966.0,21.0,157.0,129.0,82.5,42.6,67.2994
9,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-8,8150.0,6140.0,9700.0,7650.0,2000.0,1055.0,14.6,157.0,116.9,80.2,45.7,67.9435
10,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-9,5670.0,5260.0,5600.0,7380.0,1940.0,1029.0,13.0,166.0,125.5,79.4,47.5,67.8255
11,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-10,6720.0,5560.0,9400.0,6660.0,1996.0,934.0,17.8,146.0,122.2,84.7,43.3,68.1266
12,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-11,7270.0,5830.0,8400.0,7020.0,1970.0,1053.0,6.0,158.0,122.1,86.4,44.9,68.7401
13,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-12,4120.0,4500.0,5500.0,6790.0,1960.0,852.0,17.5,129.0,107.8,80.9,41.1,68.9686
14,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg-3-gr6-1,7770.0,3520.0,9200.0,2850.0,1800.0,800.0,6.0,138.0,114.9,92.2,43.5,68.9757
15,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg-3-gr6-2,7330.0,3510.0,7300.0,2960.0,1924.0,944.0,6.0,148.0,130.1,93.5,44.5,68.9879
16,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg-3-gr6-4,8300.0,4180.0,9500.0,3150.0,1870.0,945.0,6.0,158.0,126.7,96.4,45.2,68.2594
17,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg-3-gr7-2,5860.0,3490.0,3500.0,3710.0,1786.0,578.0,6.0,108.0,123.4,93.6,45.4,67.0434
18,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg-3-gr7-5,7410.0,4050.0,6500.0,5000.0,1947.0,913.0,9.8,158.0,134.0,89.7,42.4,69.1125
19,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg-3-gr7-7,6800.0,3750.0,7200.0,4870.0,1860.0,904.0,10.9,154.0,120.8,85.3,43.7,68.5927
20,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg-3-gr7-8,5000.0,3750.0,5700.0,5560.0,1890.0,1179.0,8.6,166.0,137.9,89.3,41.6,68.4903
21,Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg-3-gr7-9,6760.0,4000.0,2000.0,5280.0,1920.0,946.0,10.8,176.0,127.7,91.3,42.5,69.1916
