Location,Model,Type,Reference,Lithology,Sample,Mg,Al,Si,Ti,V,Mn,Cr,Zn,Co,Ni,Ga,umap_3,umap_4,umap_1,umap_2,hdbscan
Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg2_gr4-1,13110.0,1035.0,11900.0,788.0,2030.0,633.0,6.0,89.0,65.8,43.3,20.0,8.510138,9.559051,-2.6143136,-6.619378,20
Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg2_gr4-3,13040.0,1184.0,6500.0,817.0,2050.0,625.0,6.0,96.0,73.1,44.6,19.0,8.2615185,9.59942,-2.6139386,-6.652546,20
Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg2_gr4-10,12630.0,1160.0,7800.0,802.0,1990.0,651.0,6.0,93.8,71.3,42.0,19.6,8.600718,9.699971,-2.6118784,-6.666139,20
Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-1,5340.0,4420.0,5500.0,6660.0,1823.0,946.0,22.0,157.0,127.2,84.7,40.8,8.764735,10.854401,-4.3446665,4.785944,18
Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-3,6820.0,5530.0,2400.0,7570.0,1900.0,991.0,57.9,136.6,116.0,70.1,45.1,8.895219,10.977406,-4.3132887,4.7179837,18
Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-4,6480.0,5480.0,7200.0,7580.0,2020.0,936.0,44.8,163.0,119.2,79.9,44.6,8.990453,10.682369,-4.3753877,4.850671,18
Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-5,6530.0,5440.0,2000.0,6810.0,1920.0,969.0,35.9,159.0,120.6,69.4,43.5,9.10678,10.967781,-4.2832685,4.689993,18
Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-6,6420.0,5360.0,7400.0,7410.0,1991.0,1067.0,25.0,172.0,119.4,78.5,44.1,8.940699,10.735812,-4.3445277,4.8100653,18
Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-7,5040.0,5170.0,7300.0,7060.0,2002.0,966.0,21.0,157.0,129.0,82.5,42.6,9.12046,10.70091,-4.3574095,4.815326,18
Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-8,8150.0,6140.0,9700.0,7650.0,2000.0,1055.0,14.6,157.0,116.9,80.2,45.7,9.034345,10.470197,-4.341806,4.8376484,18
Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-9,5670.0,5260.0,5600.0,7380.0,1940.0,1029.0,13.0,166.0,125.5,79.4,47.5,9.219228,10.851245,-4.344797,4.8385634,18
Cristales Grandes,IOA,S1,La Cruz et al 2020,Cristales Grandes,cg3_gr9-10,6720.0,5560.0,9400.0,6660.0,1996.0,934.0,17.8,146.0,122.2,84.7,43.3,9.214122,10.810022,-4.344862,4.827137,18
